DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	178.090859     	218.194129     	0.844938       	0.000000       	0.844938       	16.273399      	0.040683       	2.367516       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	191.636231     	203.459654     	0.811370       	0.000000       	0.811370       	13.581174      	0.033953       	1.964671       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	203.328140     	190.418593     	0.777453       	0.000000       	0.777453       	11.723023      	0.029308       	2.095491       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	211.619996     	181.393902     	0.697294       	0.000000       	0.697294       	8.314285       	0.020786       	1.407700       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	221.760196     	170.643968     	0.721646       	0.000000       	0.721646       	10.167356      	0.025418       	1.304225       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	231.492375     	159.923454     	0.715250       	0.000000       	0.715250       	9.758322       	0.024396       	1.677442       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	240.382763     	150.347020     	0.699829       	0.000000       	0.699829       	8.914420       	0.022286       	1.361843       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	288.799108     	235.772438     	0.697677       	0.000000       	0.697677       	14.704882      	0.036762       	1.817377       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	301.339327     	221.797949     	0.668913       	0.000000       	0.668913       	12.573392      	0.031433       	2.070010       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	311.456134     	211.066487     	0.627063       	0.000000       	0.627063       	10.143830      	0.025360       	1.214695       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	321.613320     	199.711344     	0.616072       	0.000000       	0.616072       	10.184310      	0.025461       	1.786905       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	331.246469     	188.727706     	0.602324       	0.000000       	0.602324       	9.658952       	0.024147       	1.927010       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	340.345197     	178.743708     	0.590325       	0.000000       	0.590325       	9.123188       	0.022808       	1.451135       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	346.191950     	172.890059     	0.572370       	0.000000       	0.572370       	5.864563       	0.014661       	0.561456       	0.003149       	0.001133       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	383.856689     	270.222561     	0.453935       	0.000000       	0.453935       	3.980096       	0.009950       	0.391337       	0.055407       	0.022869       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	389.360574     	264.728891     	0.462767       	0.000000       	0.462767       	5.567715       	0.013919       	0.388722       	0.049910       	0.017902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	395.426304     	258.785374     	0.467062       	0.000000       	0.467062       	6.135681       	0.015339       	0.274898       	0.054612       	0.020435       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	404.431092     	249.438323     	0.530737       	0.000000       	0.530737       	9.092202       	0.022731       	0.785585       	0.064683       	0.022266       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	416.532422     	236.599882     	0.609286       	0.000000       	0.609286       	12.209033      	0.030523       	1.238694       	0.077181       	0.025484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974725   	421.645319     	231.249678     	0.462807       	0.000000       	0.462807       	5.252663       	0.013132       	0.560347       	0.126635       	0.035297       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500261   	427.559641     	225.272804     	0.474464       	0.000000       	0.474464       	5.996875       	0.014992       	0.454462       	0.067560       	0.024685       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000352   	467.921507     	304.222851     	0.499909       	0.000000       	0.499909       	10.459246      	0.026148       	1.090616       	0.071233       	0.025433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500446   	478.951932     	292.212373     	0.499906       	0.000000       	0.499906       	11.132326      	0.027831       	1.378057       	0.074071       	0.026159       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985430   	491.398528     	278.141278     	0.515017       	0.000000       	0.515017       	12.543802      	0.031360       	2.042310       	0.065847       	0.020210       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456353   	504.516935     	263.877301     	0.529077       	0.000000       	0.529077       	13.209100      	0.033023       	1.583954       	0.057670       	0.016956       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911469   	517.941132     	248.905536     	0.544884       	0.000000       	0.544884       	13.510432      	0.033776       	2.006216       	0.052459       	0.015154       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379483   	528.150576     	237.945680     	0.531986       	0.000000       	0.531986       	10.275396      	0.025688       	1.216446       	0.040263       	0.011594       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796850   	538.765782     	226.112156     	0.582632       	0.000000       	0.582632       	10.680582      	0.026701       	1.735575       	0.038675       	0.011055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256691   	584.492406     	314.605896     	0.540159       	0.000000       	0.540159       	12.041093      	0.030103       	1.255326       	0.034366       	0.010225       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774070   	592.751327     	305.927663     	0.482621       	0.000000       	0.482621       	8.357947       	0.020895       	0.802908       	0.078131       	0.032524       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333678   	599.674707     	298.351763     	0.440392       	0.000000       	0.440392       	7.213549       	0.018054       	0.802743       	0.272115       	0.081791       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852774   	608.648117     	288.989377     	0.480903       	0.000000       	0.480903       	9.248716       	0.023134       	0.594574       	0.252172       	0.071535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492819   	616.427895     	280.453703     	0.359955       	0.000000       	0.359955       	8.151348       	0.020379       	0.744281       	0.351191       	0.068950       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125463   	625.231544     	270.212879     	0.367356       	0.000000       	0.367356       	9.421294       	0.023560       	1.186886       	0.594084       	0.083442       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815768   	633.992667     	259.828236     	0.309695       	0.000000       	0.309695       	9.375209       	0.023463       	1.319130       	0.590623       	0.067414       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416216   	686.149787     	341.445248     	0.399551       	0.000000       	0.399551       	18.854026      	0.047135       	1.178514       	0.399770       	0.055438       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922351   	702.733144     	323.806551     	0.493865       	0.000000       	0.493865       	17.087687      	0.042719       	1.044875       	0.461610       	0.102947       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384726   	718.221064     	307.319850     	0.537625       	0.000000       	0.537625       	15.958511      	0.039896       	1.065816       	0.430695       	0.106882       	0.000000       	0.000000       	0.000000       	0.000000       
