DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	44.518838      	83.825756      	67.930922      	0.000000       	67.930922      	3.780318       	0.009451       	0.574848       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	48.466090      	80.446221      	0.836899       	0.000000       	0.836899       	3.959267       	0.009898       	0.257167       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	52.302614      	77.059619      	0.814482       	0.000000       	0.814482       	3.848178       	0.009620       	0.352907       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	55.904905      	73.899500      	0.776384       	0.000000       	0.776384       	3.613207       	0.009033       	0.323295       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	59.549979      	70.756334      	0.767723       	0.000000       	0.767723       	3.655850       	0.009140       	0.255040       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	63.658999      	67.020464      	0.800831       	0.000000       	0.800831       	4.121064       	0.010303       	0.415636       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	67.877104      	63.088882      	0.820015       	0.000000       	0.820015       	4.230491       	0.010576       	0.521106       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	76.730600      	69.388032      	0.844938       	0.000000       	0.844938       	5.118190       	0.012795       	0.677598       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	81.067603      	65.287279      	0.811370       	0.000000       	0.811370       	4.349727       	0.010874       	0.562397       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	84.872019      	61.649033      	0.777453       	0.000000       	0.777453       	3.815761       	0.009539       	0.599938       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	87.673127      	59.133479      	0.697294       	0.000000       	0.697294       	2.809776       	0.007024       	0.403072       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	91.025187      	56.119425      	0.721646       	0.000000       	0.721646       	3.362203       	0.008406       	0.373497       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	94.265574      	53.103906      	0.715250       	0.000000       	0.715250       	3.250259       	0.008126       	0.480509       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	97.264687      	50.405180      	0.699829       	0.000000       	0.699829       	3.008379       	0.007521       	0.390176       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	104.643733     	58.325927      	0.697677       	0.000000       	0.697677       	3.639921       	0.009100       	0.387008       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	107.808591     	55.379440      	0.668913       	0.000000       	0.668913       	3.174534       	0.007936       	0.440866       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	110.434623     	53.113488      	0.627063       	0.000000       	0.627063       	2.634281       	0.006586       	0.258734       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	113.066753     	50.708502      	0.616072       	0.000000       	0.616072       	2.640394       	0.006601       	0.380664       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	115.581978     	48.377069      	0.602324       	0.000000       	0.602324       	2.523189       	0.006308       	0.410567       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	117.978560     	46.253926      	0.590325       	0.000000       	0.590325       	2.404245       	0.006011       	0.309224       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	119.634298     	45.043542      	0.572370       	0.000000       	0.572370       	1.662623       	0.004157       	0.120131       	0.002729       	0.000652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	120.448332     	44.596171      	0.453936       	0.000000       	0.453936       	0.849773       	0.002124       	0.051534       	0.033614       	0.008545       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	121.454367     	43.970033      	0.462768       	0.000000       	0.462768       	1.037666       	0.002594       	0.051240       	0.029036       	0.006248       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577552   	122.528544     	43.291932      	0.467063       	0.000000       	0.467063       	1.108876       	0.002772       	0.036288       	0.031927       	0.007203       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	124.003572     	42.202412      	0.530737       	0.000000       	0.530737       	1.516417       	0.003791       	0.103839       	0.037598       	0.007800       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437527   	125.916569     	40.684930      	0.609287       	0.000000       	0.609287       	1.962738       	0.004907       	0.164032       	0.044834       	0.008928       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974720   	126.827513     	40.090979      	0.462808       	0.000000       	0.462808       	0.982339       	0.002486       	0.074420       	0.068909       	0.010925       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500253   	127.861544     	39.430794      	0.474466       	0.000000       	0.474466       	1.074222       	0.002686       	0.060428       	0.037506       	0.007783       	0.000000       	0.000000       	0.000000       	0.000000       
