DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15591.702599   	51.418712      	96.457007      	72.648501      	0.000000       	72.648501      	6.938549       	0.017346       	0.752945       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15590.706533   	57.763470      	90.417174      	0.996066       	0.000000       	0.996066       	6.362988       	0.015907       	0.672911       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15589.865035   	61.732829      	87.050605      	0.841498       	0.000000       	0.841498       	3.980997       	0.009952       	0.227070       	0.001685       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15589.049244   	65.810038      	82.971912      	0.815791       	0.000000       	0.815791       	4.089114       	0.010223       	0.805369       	0.001682       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15588.177141   	70.987265      	77.668519      	0.872103       	0.000000       	0.872103       	5.192043       	0.012980       	0.983453       	0.001837       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15587.257764   	76.679541      	72.104617      	0.919376       	0.000000       	0.919376       	5.708520       	0.014271       	0.774758       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15586.365136   	81.597704      	67.579293      	0.892628       	0.000000       	0.892628       	4.932445       	0.012331       	0.485507       	0.001951       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15585.498789   	86.023566      	63.618588      	0.866347       	0.000000       	0.866347       	4.438896       	0.011097       	0.388156       	0.001937       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15584.639843   	90.341816      	59.595671      	0.858946       	0.000000       	0.858946       	4.331041       	0.010828       	0.550822       	0.001963       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15583.780450   	94.594375      	55.552652      	0.859393       	0.000000       	0.859393       	4.265232       	0.010663       	0.637180       	0.002010       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15582.936999   	98.509683      	51.923536      	0.843451       	0.000000       	0.843451       	3.927148       	0.009818       	0.545420       	0.002021       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15582.123957   	101.972091     	48.920777      	0.813042       	0.000000       	0.813042       	3.473088       	0.008683       	0.342712       	0.001998       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15581.345736   	105.039780     	46.261143      	0.778220       	0.000000       	0.778220       	3.077343       	0.007693       	0.360512       	0.001960       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15580.606686   	107.730253     	43.849599      	0.739050       	0.000000       	0.739050       	2.699127       	0.006748       	0.451467       	0.001906       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15579.838264   	110.837531     	41.056175      	0.768422       	0.000000       	0.768422       	3.117093       	0.007793       	0.444752       	0.002023       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.055137   	113.976302     	38.202247      	0.783127       	0.000000       	0.783127       	3.148755       	0.007872       	0.488301       	0.002112       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15578.259588   	117.049558     	35.554180      	0.795549       	0.000000       	0.795549       	3.083165       	0.007708       	0.360451       	0.002201       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15577.487519   	119.709350     	33.409697      	0.772069       	0.000000       	0.772069       	2.668661       	0.006672       	0.247891       	0.002197       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15576.740114   	122.078961     	31.503545      	0.747405       	0.000000       	0.747405       	2.377737       	0.005944       	0.275820       	0.002182       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15575.978821   	124.546973     	29.540502      	0.761293       	0.000000       	0.761293       	2.476471       	0.006191       	0.247865       	0.002268       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15575.210591   	126.942264     	27.581714      	0.768230       	0.000000       	0.768230       	2.403646       	0.006009       	0.323372       	0.002345       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15574.466978   	128.976082     	26.083724      	0.743614       	0.000000       	0.743614       	2.041253       	0.005103       	0.200350       	0.002332       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
