DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15615.308921   	39.388283      	55.407388      	49.042179      	0.000000       	49.042179      	2.396229       	0.005991       	0.238561       	0.001955       	0.000104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15614.538073   	41.881421      	53.493083      	0.770849       	0.000000       	0.770849       	2.501239       	0.006253       	0.183915       	0.001848       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15613.766847   	44.467221      	51.478374      	0.771226       	0.000000       	0.771226       	2.594082       	0.006485       	0.191853       	0.001797       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15613.064876   	46.561510      	49.885345      	0.701972       	0.000000       	0.701972       	2.100965       	0.005252       	0.194035       	0.001423       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15612.433691   	48.225199      	48.655038      	0.631184       	0.000000       	0.631184       	1.669145       	0.004173       	0.192346       	0.001283       	0.000036       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15611.827982   	49.504478      	47.911105      	0.605709       	0.000000       	0.605709       	1.287592       	0.003219       	0.062051       	0.005094       	0.000873       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15611.216434   	50.890879      	47.091049      	0.611548       	0.000000       	0.611548       	1.397110       	0.003493       	0.034493       	0.007216       	0.001214       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15610.652422   	64.094633      	79.334918      	0.564011       	0.000000       	0.564011       	1.970389       	0.004926       	0.099754       	0.011710       	0.002479       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15610.055306   	66.548560      	77.190720      	0.597117       	0.000000       	0.597117       	2.469134       	0.006173       	0.272180       	0.009034       	0.001597       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15609.468870   	69.012395      	74.989816      	0.586436       	0.000000       	0.586436       	2.477820       	0.006195       	0.309520       	0.007790       	0.001213       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15608.846062   	72.055742      	72.350432      	0.622808       	0.000000       	0.622808       	3.060204       	0.007651       	0.201988       	0.009206       	0.001420       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15608.192081   	75.169763      	69.505293      	0.653981       	0.000000       	0.653981       	3.127260       	0.007818       	0.371860       	0.005421       	0.000774       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15607.731839   	76.311662      	68.552624      	0.460242       	0.000000       	0.460242       	1.272616       	0.003391       	0.140295       	0.127326       	0.009759       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15607.211288   	77.979603      	67.168821      	0.520551       	0.000000       	0.520551       	1.774490       	0.006096       	0.129864       	0.100453       	0.008357       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15606.636646   	80.152703      	65.326529      	0.574642       	0.000000       	0.574642       	2.256170       	0.007429       	0.160763       	0.075641       	0.006370       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15606.000457   	82.779940      	63.062324      	0.636189       	0.000000       	0.636189       	2.704307       	0.006761       	0.196087       	0.070309       	0.006905       	0.000000       	0.000000       	0.000000       	0.000000       
