DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	169.042063     	197.482024     	0.844938       	0.000000       	0.844938       	14.720721      	0.036802       	2.132299       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	181.305734     	184.227643     	0.811370       	0.000000       	0.811370       	12.296261      	0.030741       	1.769491       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	191.899792     	172.495349     	0.777453       	0.000000       	0.777453       	10.622420      	0.026556       	1.887327       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	199.427395     	164.376659     	0.697294       	0.000000       	0.697294       	7.548117       	0.018870       	1.267867       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	208.622755     	154.703479     	0.721646       	0.000000       	0.721646       	9.220148       	0.023050       	1.174678       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	217.451336     	145.055427     	0.715250       	0.000000       	0.715250       	8.852459       	0.022131       	1.510843       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	225.521701     	136.436316     	0.699829       	0.000000       	0.699829       	8.092341       	0.020231       	1.226599       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	273.129715     	222.776845     	0.697677       	0.000000       	0.697677       	13.894526      	0.034736       	1.712622       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	284.983321     	209.610004     	0.668913       	0.000000       	0.668913       	11.885058      	0.029713       	1.950697       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	294.551538     	199.498517     	0.627063       	0.000000       	0.627063       	9.593866       	0.023985       	1.144684       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	304.157630     	188.798838     	0.616072       	0.000000       	0.616072       	9.631835       	0.024080       	1.683916       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	313.269510     	178.448835     	0.602324       	0.000000       	0.602324       	9.136377       	0.022841       	1.815950       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	321.877433     	169.040503     	0.590325       	0.000000       	0.590325       	8.631153       	0.021578       	1.367504       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	327.417270     	163.526874     	0.572370       	0.000000       	0.572370       	5.556865       	0.013892       	0.529135       	0.003136       	0.001116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	364.954903     	261.001629     	0.453935       	0.000000       	0.453935       	3.851731       	0.009629       	0.377449       	0.054468       	0.022199       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	370.274560     	255.707467     	0.462767       	0.000000       	0.462767       	5.382000       	0.013455       	0.374929       	0.048889       	0.017272       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	376.135812     	249.979770     	0.467062       	0.000000       	0.467062       	5.929613       	0.014824       	0.265146       	0.053536       	0.019749       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	384.832193     	240.971100     	0.530737       	0.000000       	0.530737       	8.781685       	0.021954       	0.757722       	0.063350       	0.021476       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	396.516247     	228.596515     	0.609286       	0.000000       	0.609286       	11.789098      	0.029473       	1.194773       	0.075571       	0.024563       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	401.457649     	223.440810     	0.462807       	0.000000       	0.462807       	5.078024       	0.012696       	0.540487       	0.123926       	0.033968       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500261   	407.173232     	217.680675     	0.474464       	0.000000       	0.474464       	5.796241       	0.014491       	0.438358       	0.066167       	0.023772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000351   	434.891308     	264.429543     	0.499909       	0.000000       	0.499909       	9.060470       	0.022651       	0.940571       	0.069743       	0.024468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500446   	444.436202     	254.099477     	0.499906       	0.000000       	0.499906       	9.641520       	0.024104       	1.188452       	0.072523       	0.025169       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985429   	455.204739     	241.993116     	0.515017       	0.000000       	0.515017       	10.860007      	0.027150       	1.761370       	0.064320       	0.019322       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456352   	466.555351     	229.720585     	0.529077       	0.000000       	0.529077       	11.435498      	0.028589       	1.366110       	0.056297       	0.016171       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911467   	478.172057     	216.837971     	0.544884       	0.000000       	0.544884       	11.697149      	0.029243       	1.730349       	0.051200       	0.014438       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379481   	487.018049     	207.413133     	0.531986       	0.000000       	0.531986       	8.907559       	0.022269       	1.049266       	0.039298       	0.011041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796849   	496.214802     	197.240836     	0.582633       	0.000000       	0.582633       	9.257643       	0.023144       	1.497286       	0.037746       	0.010523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256689   	507.463870     	200.704245     	0.540159       	0.000000       	0.540159       	7.551488       	0.018879       	0.775263       	0.033541       	0.009730       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774068   	512.647755     	195.417740     	0.482622       	0.000000       	0.482622       	5.273249       	0.013183       	0.495878       	0.076180       	0.030904       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333675   	516.893942     	190.844134     	0.440392       	0.000000       	0.440392       	4.518188       	0.011320       	0.495810       	0.260681       	0.075594       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852772   	522.409637     	185.186866     	0.480903       	0.000000       	0.480903       	5.770833       	0.014443       	0.367339       	0.240696       	0.065731       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492816   	527.137825     	180.013629     	0.359955       	0.000000       	0.359955       	5.073292       	0.012684       	0.459900       	0.332420       	0.062432       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125460   	532.434911     	173.772827     	0.367356       	0.000000       	0.367356       	5.874661       	0.014695       	0.733497       	0.562881       	0.074755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815765   	537.742743     	167.390033     	0.309695       	0.000000       	0.309695       	5.877051       	0.014710       	0.815438       	0.554508       	0.058487       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416213   	563.137858     	201.331539     	0.399551       	0.000000       	0.399551       	10.793123      	0.026983       	0.664923       	0.371025       	0.046120       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922349   	572.469371     	191.450991     	0.493865       	0.000000       	0.493865       	9.784881       	0.024462       	0.589532       	0.428906       	0.088833       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384724   	581.180552     	182.254096     	0.537625       	0.000000       	0.537625       	9.133156       	0.022833       	0.601363       	0.399142       	0.092196       	0.000000       	0.000000       	0.000000       	0.000000       
