DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	53.538361      	116.482270     	79.442240      	0.000000       	79.442240      	5.420733       	0.013552       	0.289237       	0.118820       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089812   	58.040703      	112.440081     	0.819049       	0.000000       	0.819049       	4.568912       	0.011422       	0.292326       	0.055148       	0.006356       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277912   	62.743567      	107.971317     	0.811900       	0.000000       	0.811900       	4.749640       	0.011874       	0.531023       	0.034903       	0.003867       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566581   	66.041197      	104.955170     	0.711331       	0.000000       	0.711331       	3.356440       	0.008391       	0.371038       	0.050419       	0.005983       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837818   	69.701317      	101.550630     	0.728763       	0.000000       	0.728763       	3.729386       	0.009323       	0.403916       	0.059943       	0.007114       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098037   	73.712155      	97.843053      	0.739781       	0.000000       	0.739781       	4.057835       	0.010145       	0.389523       	0.036852       	0.004375       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407698   	77.213083      	94.686084      	0.690339       	0.000000       	0.690339       	3.541743       	0.008854       	0.305565       	0.031961       	0.003675       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693313   	81.250973      	90.957100      	0.714385       	0.000000       	0.714385       	4.083452       	0.010209       	0.359917       	0.035353       	0.003958       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983194   	85.469249      	86.720980      	0.710119       	0.000000       	0.710119       	4.258874       	0.010647       	0.687365       	0.029951       	0.002910       	0.000000       	0.000000       	0.000000       	0.000000       
