DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	44.964015      	73.695983      	58.093927      	0.000000       	58.093927      	4.226779       	0.010567       	0.421165       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	48.817244      	70.310534      	0.861347       	0.000000       	0.861347       	3.864909       	0.009662       	0.381888       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	52.133575      	67.376232      	0.803779       	0.000000       	0.803779       	3.326294       	0.008316       	0.411786       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	55.703088      	64.189126      	0.813290       	0.000000       	0.813290       	3.580165       	0.008950       	0.420231       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	58.690536      	61.881416      	0.849294       	0.000000       	0.849294       	3.000787       	0.007502       	0.156217       	0.005838       	0.001194       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	61.804596      	59.389681      	0.858824       	0.000000       	0.858824       	3.126030       	0.007815       	0.224529       	0.004155       	0.000759       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	64.762750      	57.050726      	0.877325       	0.000000       	0.877325       	2.977904       	0.007445       	0.238375       	0.012305       	0.002827       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426088   	71.090285      	66.221465      	0.767226       	0.000000       	0.767226       	2.650335       	0.006626       	0.196153       	0.066174       	0.007510       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680508   	73.596825      	64.122208      	0.745580       	0.000000       	0.745580       	2.642186       	0.007142       	0.202651       	0.128504       	0.011754       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996626   	75.684799      	62.426298      	0.683882       	0.000000       	0.683882       	2.237834       	0.006709       	0.141958       	0.143151       	0.012082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339905   	77.717649      	60.790338      	0.656721       	0.000000       	0.656721       	2.132835       	0.007121       	0.159846       	0.092863       	0.007425       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662620   	80.027878      	58.898210      	0.677284       	0.000000       	0.677284       	2.392342       	0.006062       	0.177070       	0.076052       	0.006579       	0.000000       	0.000000       	0.000000       	0.000000       
