DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	58.727989      	109.334311     	62.864858      	0.000000       	62.864858      	6.747085       	0.016868       	0.783463       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	66.036828      	102.256222     	0.935448       	0.000000       	0.935448       	7.329424       	0.018324       	0.684113       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	72.248435      	96.156771      	0.889294       	0.000000       	0.889294       	6.229022       	0.015573       	0.759723       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	77.443169      	91.290085      	0.875660       	0.000000       	0.875660       	5.209506       	0.013024       	0.532841       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	81.179447      	87.934675      	0.765314       	0.000000       	0.765314       	3.747188       	0.009368       	0.373535       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	84.198187      	85.400503      	0.740891       	0.000000       	0.740891       	3.036230       	0.007591       	0.238834       	0.009899       	0.003241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	86.753796      	83.330098      	0.676930       	0.000000       	0.676930       	2.581833       	0.006455       	0.165502       	0.019769       	0.005038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952924   	105.698389     	124.564197     	0.649781       	0.000000       	0.649781       	3.968974       	0.009922       	0.446707       	0.014460       	0.003396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280289   	110.346372     	120.103411     	0.672636       	0.000000       	0.672636       	4.674034       	0.011685       	0.459388       	0.014365       	0.003004       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662810   	114.408222     	116.034462     	0.617479       	0.000000       	0.617479       	4.082416       	0.010206       	0.604012       	0.010360       	0.002141       	0.000000       	0.000000       	0.000000       	0.000000       
