DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	76.324055      	151.405689     	62.864858      	0.000000       	62.864858      	9.349658       	0.023374       	1.109512       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	86.449276      	141.219595     	0.935448       	0.000000       	0.935448       	10.152865      	0.025382       	0.968677       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	95.010634      	132.448592     	0.889294       	0.000000       	0.889294       	8.584661       	0.021462       	1.075636       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	102.128277     	125.432823     	0.875660       	0.000000       	0.875660       	7.137235       	0.017843       	0.754194       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	107.192201     	120.591363     	0.765314       	0.000000       	0.765314       	5.078161       	0.012695       	0.528613       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	111.246746     	116.918307     	0.740891       	0.000000       	0.740891       	4.076140       	0.010190       	0.337807       	0.011405       	0.004498       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	114.665462     	113.910660     	0.676929       	0.000000       	0.676929       	3.450490       	0.008626       	0.234086       	0.023148       	0.007120       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952925   	154.914655     	208.504209     	0.649780       	0.000000       	0.649780       	6.532283       	0.016331       	0.773949       	0.016759       	0.004736       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280290   	162.623912     	200.635850     	0.672635       	0.000000       	0.672635       	7.745188       	0.019363       	0.795806       	0.016568       	0.004131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662811   	169.323250     	193.479033     	0.617478       	0.000000       	0.617478       	6.728030       	0.016820       	1.046266       	0.011872       	0.002937       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.028167   	177.161301     	185.357676     	0.634644       	0.000000       	0.634644       	7.864116       	0.019660       	0.891885       	0.006405       	0.001320       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.371195   	185.897978     	175.962469     	0.656973       	0.000000       	0.656973       	8.763126       	0.021908       	1.289054       	0.004541       	0.000737       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.710579   	194.450938     	166.783925     	0.660615       	0.000000       	0.660615       	8.578106       	0.021445       	1.261053       	0.003701       	0.000487       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.048888   	201.364457     	159.648480     	0.661691       	0.000000       	0.661691       	6.933821       	0.017335       	0.863315       	0.002968       	0.000324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.459220   	234.498604     	231.034719     	0.589668       	0.000000       	0.589668       	7.114314       	0.017824       	0.839116       	0.212344       	0.045616       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.810909   	243.266226     	222.040340     	0.648311       	0.000000       	0.648311       	8.904779       	0.022262       	0.737911       	0.114895       	0.027892       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.154725   	252.393693     	212.537823     	0.656184       	0.000000       	0.656184       	9.226339       	0.023066       	0.932362       	0.075806       	0.020615       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549883   	259.925093     	204.807605     	0.604842       	0.000000       	0.604842       	7.616334       	0.019041       	0.718726       	0.065893       	0.017772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.013561   	265.378332     	199.450363     	0.536322       	0.000000       	0.536322       	5.520812       	0.013802       	0.372753       	0.053771       	0.014604       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.482659   	271.637422     	192.750219     	0.530902       	0.000000       	0.530902       	6.333516       	0.015834       	0.897530       	0.058592       	0.015801       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.994098   	276.961177     	186.946855     	0.488561       	0.000000       	0.488561       	5.378971       	0.013447       	0.912954       	0.041768       	0.009528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.449351   	316.986565     	266.341306     	0.544747       	0.000000       	0.544747       	10.094001      	0.025235       	1.056295       	0.043378       	0.009103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.911434   	327.221390     	254.766518     	0.537917       	0.000000       	0.537917       	10.298300      	0.025746       	1.814404       	0.037729       	0.007725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.383088   	337.035695     	244.221593     	0.528346       	0.000000       	0.528346       	9.872464       	0.024681       	1.200807       	0.033478       	0.006750       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.833628   	348.010696     	232.468110     	0.549461       	0.000000       	0.549461       	11.035309      	0.027588       	1.267634       	0.032720       	0.006504       	0.000000       	0.000000       	0.000000       	0.000000       
