DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	40.615018      	63.114558      	58.093927      	0.000000       	58.093927      	3.626281       	0.009066       	0.353089       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	43.930690      	60.329705      	0.861347       	0.000000       	0.861347       	3.326004       	0.008315       	0.320195       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	46.797198      	57.912851      	0.803779       	0.000000       	0.803779       	2.875345       	0.007188       	0.345288       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	49.880032      	55.281481      	0.813290       	0.000000       	0.813290       	3.092266       	0.007731       	0.352393       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	52.476131      	53.391845      	0.849294       	0.000000       	0.849294       	2.607843       	0.006520       	0.131088       	0.005224       	0.000883       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	55.181982      	51.345742      	0.858824       	0.000000       	0.858824       	2.716457       	0.006791       	0.188470       	0.003815       	0.000576       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	57.761775      	49.425637      	0.877325       	0.000000       	0.877325       	2.597269       	0.006493       	0.200160       	0.010983       	0.002157       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426088   	72.148794      	80.485895      	0.767226       	0.000000       	0.767226       	3.211045       	0.008028       	0.245924       	0.065999       	0.007523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680508   	75.214041      	77.774650      	0.745580       	0.000000       	0.745580       	3.202830       	0.008644       	0.253995       	0.128938       	0.011934       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996626   	77.763793      	75.578551      	0.683882       	0.000000       	0.683882       	2.702106       	0.007897       	0.177876       	0.144457       	0.012431       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339905   	80.233622      	73.463468      	0.656721       	0.000000       	0.656721       	2.571562       	0.008226       	0.200242       	0.093507       	0.007611       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662620   	83.041823      	71.026877      	0.677284       	0.000000       	0.677284       	2.892100       	0.007311       	0.221775       	0.076588       	0.006740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15597.005209   	85.826702      	68.477583      	0.657412       	0.000000       	0.657412       	2.859386       	0.007148       	0.347320       	0.067358       	0.006436       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15596.333363   	88.993670      	65.460494      	0.671846       	0.000000       	0.671846       	3.240721       	0.008102       	0.448214       	0.065651       	0.005707       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15595.635161   	96.921539      	72.553153      	0.698202       	0.000000       	0.698202       	4.252111       	0.010630       	0.603432       	0.063612       	0.005232       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15594.911462   	100.359116     	69.475671      	0.723699       	0.000000       	0.723699       	3.505759       	0.008764       	0.295422       	0.059417       	0.004717       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15594.293751   	102.732768     	67.337170      	0.617712       	0.000000       	0.617712       	2.595441       	0.010445       	0.160771       	0.211343       	0.012265       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15593.669601   	104.943091     	65.456921      	0.624150       	0.000000       	0.624150       	2.363150       	0.009428       	0.141250       	0.143400       	0.012699       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15593.053196   	107.216412     	63.520468      	0.616405       	0.000000       	0.616405       	2.388020       	0.008790       	0.164838       	0.105909       	0.009130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15592.499453   	109.045290     	61.958931      	0.553743       	0.000000       	0.553743       	1.914338       	0.005279       	0.200942       	0.080181       	0.007523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15592.010554   	110.539856     	60.703292      	0.488899       	0.000000       	0.488899       	1.562063       	0.003905       	0.182475       	0.063592       	0.006092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15591.506226   	112.444291     	59.056794      	0.504328       	0.000000       	0.504328       	1.974126       	0.004935       	0.176700       	0.064755       	0.005912       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15591.039222   	114.039372     	57.655755      	0.467004       	0.000000       	0.467004       	1.654558       	0.004136       	0.213484       	0.055341       	0.004606       	0.000000       	0.000000       	0.000000       	0.000000       
