DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	69.150515      	62.437829      	0.844938       	0.000000       	0.844938       	4.597170       	0.011493       	0.598668       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	73.057429      	58.833738      	0.811370       	0.000000       	0.811370       	3.918559       	0.009796       	0.496902       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	76.493450      	55.634663      	0.777453       	0.000000       	0.777453       	3.446443       	0.008616       	0.530086       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	79.038108      	53.423125      	0.697294       	0.000000       	0.697294       	2.552683       	0.006382       	0.356149       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	82.073123      	50.770381      	0.721646       	0.000000       	0.721646       	3.044363       	0.007611       	0.330026       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	85.010311      	48.114727      	0.715250       	0.000000       	0.715250       	2.946300       	0.007366       	0.424605       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	87.734279      	45.737217      	0.699829       	0.000000       	0.699829       	2.732545       	0.006831       	0.344793       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	99.245834      	64.474931      	0.697677       	0.000000       	0.697677       	4.023389       	0.010058       	0.436575       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	102.735631     	61.146237      	0.668913       	0.000000       	0.668913       	3.500287       	0.008751       	0.497319       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	105.621317     	58.586854      	0.627063       	0.000000       	0.627063       	2.894586       	0.007236       	0.291860       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	108.514333     	55.871600      	0.616072       	0.000000       	0.616072       	2.901934       	0.007255       	0.429392       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	111.276402     	53.240160      	0.602324       	0.000000       	0.602324       	2.770652       	0.006927       	0.463111       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	113.905521     	50.844333      	0.590325       	0.000000       	0.590325       	2.637364       	0.006593       	0.348788       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	115.706811     	49.472766      	0.572370       	0.000000       	0.572370       	1.808518       	0.004521       	0.135420       	0.002706       	0.000630       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	140.005845     	115.428474     	0.453936       	0.000000       	0.453936       	1.840006       	0.004600       	0.158222       	0.036373       	0.010137       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	142.435815     	113.266524     	0.462768       	0.000000       	0.462768       	2.467518       	0.006169       	0.157199       	0.031379       	0.007409       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	145.089959     	110.926878     	0.467062       	0.000000       	0.467062       	2.695505       	0.006739       	0.111204       	0.034622       	0.008619       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	148.946778     	107.232507     	0.530737       	0.000000       	0.530737       	3.907223       	0.009768       	0.317885       	0.040637       	0.009242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437528   	154.082079     	102.143699     	0.609287       	0.000000       	0.609287       	5.196656       	0.012992       	0.501439       	0.048363       	0.010503       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974721   	156.326981     	100.052752     	0.462807       	0.000000       	0.462807       	2.326770       	0.005843       	0.226984       	0.076024       	0.013611       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500255   	158.907676     	97.714464      	0.474466       	0.000000       	0.474466       	2.628614       	0.006572       	0.184140       	0.041348       	0.009653       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000343   	166.189617     	105.529940     	0.499911       	0.000000       	0.499911       	3.584380       	0.008961       	0.350056       	0.043478       	0.009864       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500435   	169.942841     	101.779581     	0.499908       	0.000000       	0.499908       	3.807908       	0.009520       	0.442360       	0.045164       	0.010108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985416   	174.168893     	97.363143      	0.515019       	0.000000       	0.515019       	4.275652       	0.010689       	0.655805       	0.038911       	0.007130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456336   	178.630716     	92.876469      	0.529080       	0.000000       	0.529080       	4.506984       	0.011267       	0.508770       	0.033893       	0.005774       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911448   	183.210805     	88.154295      	0.544887       	0.000000       	0.544887       	4.622497       	0.011556       	0.644564       	0.030852       	0.005092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379459   	186.760013     	84.713174      	0.531989       	0.000000       	0.531989       	3.582021       	0.008955       	0.391089       	0.023858       	0.003883       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796824   	190.453855     	81.010952      	0.582635       	0.000000       	0.582635       	3.726111       	0.009315       	0.558746       	0.022953       	0.003691       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256662   	205.873145     	110.691464     	0.540162       	0.000000       	0.540162       	4.200530       	0.010501       	0.409121       	0.020738       	0.003626       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774038   	208.777206     	107.950255     	0.482624       	0.000000       	0.482624       	2.962086       	0.007405       	0.261747       	0.050620       	0.014693       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333643   	211.116479     	105.617061     	0.440395       	0.000000       	0.440395       	2.511818       	0.007095       	0.261771       	0.165450       	0.033861       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852738   	214.148809     	102.715572     	0.480906       	0.000000       	0.480906       	3.188384       	0.008642       	0.194010       	0.147411       	0.027594       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492781   	216.813871     	99.959367      	0.359956       	0.000000       	0.359956       	2.873214       	0.007211       	0.242948       	0.200941       	0.027293       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125423   	219.663138     	96.727473      	0.367358       	0.000000       	0.367358       	3.211638       	0.008231       	0.387613       	0.354141       	0.032345       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815727   	222.469905     	93.446439      	0.309696       	0.000000       	0.309696       	3.159606       	0.008354       	0.431124       	0.344485       	0.023600       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416175   	252.948119     	152.610173     	0.399552       	0.000000       	0.399552       	8.225547       	0.020566       	0.510270       	0.226767       	0.019747       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922309   	260.141726     	145.189495     	0.493866       	0.000000       	0.493866       	7.461930       	0.018682       	0.452614       	0.249641       	0.032321       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384683   	266.878082     	138.283318     	0.537627       	0.000000       	0.537627       	6.981914       	0.017473       	0.461889       	0.228085       	0.032436       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850169   	271.891672     	133.254311     	0.534514       	0.000000       	0.534514       	5.240813       	0.013132       	0.322709       	0.214091       	0.034315       	0.000000       	0.000000       	0.000000       	0.000000       
