DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	60.723155      	112.420663     	52.724996      	0.000000       	52.724996      	4.987678       	0.012469       	0.566656       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	66.153193      	107.319146     	0.831452       	0.000000       	0.831452       	5.445651       	0.013614       	0.487317       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	71.239206      	102.537891     	0.799256       	0.000000       	0.799256       	5.100631       	0.012752       	0.479879       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	75.862847      	98.123868      	0.765364       	0.000000       	0.765364       	4.636810       	0.011592       	0.542577       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	80.709813      	93.285005      	0.769632       	0.000000       	0.769632       	4.860731       	0.012152       	0.747764       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	84.947467      	89.260958      	0.733900       	0.000000       	0.733900       	4.249829       	0.010625       	0.508118       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	89.411993      	85.048010      	0.741278       	0.000000       	0.741278       	4.477315       	0.011193       	0.476910       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	137.420805     	186.766345     	0.747544       	0.000000       	0.747544       	10.536785      	0.026342       	0.992424       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	146.415651     	176.506215     	0.716320       	0.000000       	0.716320       	9.018980       	0.022547       	1.957470       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	154.335671     	167.722290     	0.686705       	0.000000       	0.686705       	7.941420       	0.019854       	1.529210       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	164.232191     	156.775308     	0.729521       	0.000000       	0.729521       	9.923002       	0.024808       	1.753501       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
