DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	40.535341      	68.122506      	62.987485      	0.000000       	62.987485      	3.546445       	0.008866       	0.318534       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	43.756498      	65.398115      	0.828868       	0.000000       	0.828868       	3.231223       	0.008078       	0.322037       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	46.696933      	62.971970      	0.782752       	0.000000       	0.782752       	2.949631       	0.007374       	0.259266       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	49.419790      	60.787488      	0.745042       	0.000000       	0.745042       	2.731221       	0.006828       	0.198304       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	51.967977      	58.695983      	0.714297       	0.000000       	0.714297       	2.556066       	0.006390       	0.249736       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	54.492145      	56.597670      	0.700517       	0.000000       	0.700517       	2.531977       	0.006330       	0.266852       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	56.684952      	54.734207      	0.659263       	0.000000       	0.659263       	2.199710       	0.005499       	0.323016       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	59.027833      	52.769849      	0.662487       	0.000000       	0.662487       	2.350191       	0.005875       	0.276654       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	61.511489      	50.706779      	0.671924       	0.000000       	0.671924       	2.491359       	0.006228       	0.243635       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	63.967456      	48.619852      	0.671009       	0.000000       	0.671009       	2.463623       	0.006159       	0.294313       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	66.210251      	46.759400      	0.651961       	0.000000       	0.651961       	2.249897       	0.005625       	0.262517       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	68.394510      	44.942234      	0.642526       	0.000000       	0.642526       	2.191219       	0.005478       	0.268473       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	70.255827      	43.388777      	0.606352       	0.000000       	0.606352       	1.867407       	0.004669       	0.292402       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	71.995016      	42.023177      	0.583658       	0.000000       	0.583658       	1.744942       	0.004362       	0.204316       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	87.034297      	72.024920      	0.615448       	0.000000       	0.615448       	3.800271       	0.009501       	0.563434       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	90.844212      	68.189513      	0.624587       	0.000000       	0.624587       	3.821007       	0.009553       	0.638987       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	94.045352      	64.985537      	0.601108       	0.000000       	0.601108       	3.210680       	0.008027       	0.594403       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15590.037295   	96.665738      	62.464796      	0.564521       	0.000000       	0.564521       	2.628404       	0.006571       	0.456859       	0.001447       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.467182   	99.532663      	59.622741      	0.570113       	0.000000       	0.570113       	2.875596       	0.007189       	0.536571       	0.001482       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.905341   	102.267442     	57.070414      	0.561841       	0.000000       	0.561841       	2.743125       	0.006858       	0.371043       	0.001488       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15588.334141   	105.137089     	54.162165      	0.571200       	0.000000       	0.571200       	2.878379       	0.007196       	0.601071       	0.001536       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.760341   	116.611516     	72.369266      	0.573800       	0.000000       	0.573800       	3.985964       	0.009965       	0.880734       	0.001572       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15587.156496   	121.094211     	67.952189      	0.603845       	0.000000       	0.603845       	4.495612       	0.011239       	0.525310       	0.001678       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.530372   	125.697554     	63.347097      	0.626125       	0.000000       	0.626125       	4.616660       	0.011542       	0.614557       	0.001775       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.878495   	130.399230     	58.429938      	0.651876       	0.000000       	0.651876       	4.715349       	0.011788       	0.853687       	0.001884       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.213950   	134.847100     	53.971108      	0.664545       	0.000000       	0.664545       	4.460987       	0.011152       	0.662389       	0.001965       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.529483   	139.236838     	49.486947      	0.684467       	0.000000       	0.684467       	4.402810       	0.011007       	0.765818       	0.002065       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.835252   	143.341027     	45.313599      	0.694231       	0.000000       	0.694231       	4.116624       	0.010292       	0.750956       	0.002144       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.145973   	151.646022     	51.812428      	0.689279       	0.000000       	0.689279       	4.568598       	0.011421       	0.871852       	0.002181       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.438172   	156.202534     	47.214558      	0.707800       	0.000000       	0.707800       	4.570217       	0.011426       	0.735454       	0.002280       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.749334   	159.972747     	43.271010      	0.688839       	0.000000       	0.688839       	3.781950       	0.009455       	0.850436       	0.002283       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.056752   	163.558404     	39.643218      	0.692582       	0.000000       	0.692582       	3.596984       	0.008992       	0.723390       	0.002334       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.349594   	167.081093     	36.436821      	0.707158       	0.000000       	0.707158       	3.533952       	0.008835       	0.379603       	0.002428       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
