DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	164.517665     	187.125971     	0.844938       	0.000000       	0.844938       	13.944382      	0.034861       	2.014690       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	176.140485     	174.611637     	0.811370       	0.000000       	0.811370       	11.653804      	0.029135       	1.671900       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	186.185617     	163.533727     	0.777453       	0.000000       	0.777453       	10.072118      	0.025180       	1.783245       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	193.331093     	155.868038     	0.697294       	0.000000       	0.697294       	7.165032       	0.017913       	1.197951       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	202.054033     	146.733236     	0.721646       	0.000000       	0.721646       	8.746544       	0.021866       	1.109905       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	210.430814     	137.621415     	0.715250       	0.000000       	0.715250       	8.399527       	0.020999       	1.427544       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	218.091165     	129.480968     	0.699829       	0.000000       	0.699829       	7.681300       	0.019203       	1.158977       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	265.295014     	216.279053     	0.697677       	0.000000       	0.697677       	13.489348      	0.033723       	1.660244       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	276.805314     	203.516035     	0.668913       	0.000000       	0.668913       	11.540891      	0.028852       	1.891040       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	286.099236     	193.714536     	0.627063       	0.000000       	0.627063       	9.318884       	0.023297       	1.109678       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	295.429781     	183.342589     	0.616072       	0.000000       	0.616072       	9.355597       	0.023389       	1.632422       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	304.281027     	173.309403     	0.602324       	0.000000       	0.602324       	8.875089       	0.022188       	1.760420       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	312.643548     	164.188904     	0.590325       	0.000000       	0.590325       	8.385135       	0.020963       	1.325689       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	318.029927     	158.845285     	0.572370       	0.000000       	0.572370       	5.403016       	0.013508       	0.512974       	0.003129       	0.001107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	351.600003     	245.312462     	0.453935       	0.000000       	0.453935       	3.632939       	0.009082       	0.353819       	0.053781       	0.021710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	356.604898     	240.358063     	0.462767       	0.000000       	0.462767       	5.065706       	0.012664       	0.351460       	0.048147       	0.016819       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	362.116831     	234.997941     	0.467062       	0.000000       	0.467062       	5.578631       	0.013947       	0.248553       	0.052751       	0.019250       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	370.286585     	226.565597     	0.530737       	0.000000       	0.530737       	8.252768       	0.020632       	0.710313       	0.062381       	0.020906       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	381.258191     	214.981150     	0.609286       	0.000000       	0.609286       	11.073693      	0.027684       	1.120040       	0.074404       	0.023901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	385.904985     	210.156605     	0.462807       	0.000000       	0.462807       	4.780656       	0.011952       	0.506696       	0.121910       	0.032981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500260   	391.279287     	204.767049     	0.474464       	0.000000       	0.474464       	5.453063       	0.013633       	0.410957       	0.065129       	0.023094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000351   	406.176376     	219.510950     	0.499909       	0.000000       	0.499909       	7.484433       	0.018711       	0.771575       	0.068632       	0.023752       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500445   	414.046951     	211.074098     	0.499906       	0.000000       	0.499906       	7.961855       	0.019905       	0.974903       	0.071376       	0.024441       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985428   	422.924328     	201.181184     	0.515017       	0.000000       	0.515017       	8.962981       	0.022407       	1.444950       	0.063196       	0.018678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456351   	432.282745     	191.152212     	0.529077       	0.000000       	0.529077       	9.437299       	0.023593       	1.120751       	0.055289       	0.015605       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911466   	441.862553     	180.623241     	0.544884       	0.000000       	0.544884       	9.654220       	0.024136       	1.419635       	0.050276       	0.013922       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379480   	449.171858     	172.927956     	0.531986       	0.000000       	0.531986       	7.366312       	0.018416       	0.860959       	0.038591       	0.010643       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796847   	456.769957     	164.627420     	0.582633       	0.000000       	0.582633       	7.654301       	0.019136       	1.228867       	0.037066       	0.010141       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256688   	491.850286     	234.114499     	0.540160       	0.000000       	0.540160       	8.885497       	0.022214       	0.917585       	0.032955       	0.009394       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774066   	497.949552     	227.820290     	0.482622       	0.000000       	0.482622       	6.189924       	0.015475       	0.586907       	0.075183       	0.030211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333674   	502.998376     	222.354686     	0.440392       	0.000000       	0.440392       	5.319184       	0.013329       	0.586812       	0.257031       	0.073983       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852770   	509.549798     	215.595418     	0.480903       	0.000000       	0.480903       	6.805466       	0.017033       	0.434705       	0.237011       	0.064191       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492815   	515.220723     	209.397349     	0.359955       	0.000000       	0.359955       	6.013824       	0.015035       	0.544201       	0.327865       	0.061406       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125459   	521.587617     	201.955799     	0.367356       	0.000000       	0.367356       	6.941014       	0.017363       	0.867892       	0.556756       	0.073687       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815763   	527.928051     	194.393367     	0.309695       	0.000000       	0.309695       	6.907392       	0.017297       	0.964736       	0.549660       	0.057963       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416212   	580.998461     	290.309690     	0.399551       	0.000000       	0.399551       	15.981732      	0.039954       	1.001496       	0.371368       	0.048341       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922347   	595.023179     	275.429304     	0.493865       	0.000000       	0.493865       	14.486226      	0.036216       	0.888025       	0.425293       	0.088288       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384722   	608.124929     	261.530427     	0.537625       	0.000000       	0.537625       	13.530588      	0.033827       	0.905914       	0.395011       	0.091040       	0.000000       	0.000000       	0.000000       	0.000000       
