DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15591.702599   	60.418856      	117.275319     	72.648501      	0.000000       	72.648501      	8.442452       	0.021106       	0.930730       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15590.706533   	68.119779      	109.717120     	0.996066       	0.000000       	0.996066       	7.722553       	0.019306       	0.831713       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15589.865035   	72.890598      	105.493515     	0.841498       	0.000000       	0.841498       	4.784465       	0.011961       	0.280637       	0.001685       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15589.049244   	77.792607      	100.398011     	0.815791       	0.000000       	0.815791       	4.915982       	0.012290       	0.995314       	0.001682       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15588.177141   	84.042783      	93.787101      	0.872103       	0.000000       	0.872103       	6.267682       	0.015669       	1.215332       	0.001837       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15587.257764   	90.916701      	86.855979      	0.919376       	0.000000       	0.919376       	6.893124       	0.017233       	0.957374       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15586.365136   	96.830944      	81.217673      	0.892628       	0.000000       	0.892628       	5.931021       	0.014828       	0.599914       	0.001951       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15585.498789   	142.404104     	170.320806     	0.866347       	0.000000       	0.866347       	11.854734      	0.029637       	1.158480       	0.001937       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15584.639843   	153.871155     	158.038289     	0.858946       	0.000000       	0.858946       	11.497759      	0.028744       	1.643704       	0.001963       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15583.780450   	165.098456     	145.739156     	0.859393       	0.000000       	0.859393       	11.257455      	0.028144       	1.901071       	0.002010       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15582.936999   	175.304223     	134.722235     	0.843451       	0.000000       	0.843451       	10.233372      	0.025583       	1.627002       	0.002021       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15582.123957   	184.173375     	125.619756     	0.813042       	0.000000       	0.813042       	8.893383       	0.022233       	1.022138       	0.001998       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15581.345736   	191.894599     	117.580388     	0.778220       	0.000000       	0.778220       	7.742541       	0.019356       	1.075048       	0.001960       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15580.606686   	198.535139     	110.314290     	0.739050       	0.000000       	0.739050       	6.659094       	0.016648       	1.346054       	0.001906       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15579.838264   	242.710919     	184.350713     	0.768422       	0.000000       	0.768422       	14.213336      	0.035533       	2.518662       	0.002023       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.055137   	256.950056     	168.092615     	0.783127       	0.000000       	0.783127       	14.276941      	0.035692       	2.764285       	0.002112       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15578.259588   	270.718625     	153.043360     	0.795549       	0.000000       	0.795549       	13.805283      	0.034513       	2.039520       	0.002201       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15577.487519   	282.223071     	140.878182     	0.772069       	0.000000       	0.772069       	11.535481      	0.028839       	1.401766       	0.002197       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
