DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	41.131922      	67.262933      	62.864858      	0.000000       	62.864858      	4.144512       	0.010361       	0.457414       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	45.624380      	63.292848      	0.935448       	0.000000       	0.935448       	4.505984       	0.011265       	0.399548       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	49.486237      	59.864950      	0.889294       	0.000000       	0.889294       	3.873382       	0.009683       	0.443810       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	52.758060      	57.147346      	0.875660       	0.000000       	0.875660       	3.281776       	0.008204       	0.311488       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	55.166693      	55.277988      	0.765314       	0.000000       	0.765314       	2.416214       	0.006041       	0.218457       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	57.151709      	53.881741      	0.740891       	0.000000       	0.740891       	1.997278       	0.004993       	0.139860       	0.007269       	0.001543       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	58.851990      	52.742120      	0.676930       	0.000000       	0.676930       	1.719635       	0.004299       	0.096915       	0.015055       	0.002704       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952924   	60.582238      	51.483930      	0.649781       	0.000000       	0.649781       	1.745973       	0.004365       	0.161999       	0.011360       	0.001905       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280288   	62.576047      	49.979388      	0.672636       	0.000000       	0.672636       	2.010481       	0.005026       	0.166697       	0.011646       	0.001862       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662809   	64.351723      	48.588979      	0.617479       	0.000000       	0.617479       	1.788648       	0.004472       	0.219240       	0.008500       	0.001336       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.028165   	66.388076      	46.990193      	0.634644       	0.000000       	0.634644       	2.046416       	0.005116       	0.187014       	0.004947       	0.000634       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.371191   	68.637772      	45.117630      	0.656973       	0.000000       	0.656973       	2.259085       	0.005648       	0.270451       	0.003742       	0.000379       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.710575   	70.864057      	43.278485      	0.660616       	0.000000       	0.660616       	2.235060       	0.005588       	0.264701       	0.003187       	0.000269       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.048884   	72.736236      	41.879034      	0.661691       	0.000000       	0.661691       	1.879520       	0.004699       	0.181622       	0.002643       	0.000192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.459215   	86.189094      	73.646907      	0.589669       	0.000000       	0.589669       	2.331522       	0.006383       	0.240274       	0.122281       	0.014624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.810902   	88.987589      	71.212978      	0.648313       	0.000000       	0.648313       	2.870749       	0.007177       	0.211493       	0.065076       	0.008662       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.154715   	91.919894      	68.618509      	0.656186       	0.000000       	0.656186       	2.983262       	0.007458       	0.267393       	0.043500       	0.006497       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549871   	94.390120      	66.502605      	0.604844       	0.000000       	0.604844       	2.514530       	0.006286       	0.206219       	0.038018       	0.005642       	0.000000       	0.000000       	0.000000       	0.000000       
