DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	129.672929     	148.969106     	0.844938       	0.000000       	0.844938       	11.083964      	0.027710       	1.581361       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	138.934542     	139.181469     	0.811370       	0.000000       	0.811370       	9.286679       	0.023217       	1.312329       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	146.957167     	130.514624     	0.777453       	0.000000       	0.777453       	8.044543       	0.020111       	1.399755       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	152.694713     	124.518001     	0.697294       	0.000000       	0.697294       	5.753573       	0.014384       	0.940344       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	159.677053     	117.366818     	0.721646       	0.000000       	0.721646       	7.001581       	0.017504       	0.871248       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	166.389236     	110.230686     	0.715250       	0.000000       	0.715250       	6.730757       	0.016827       	1.120626       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	172.538993     	103.853774     	0.699829       	0.000000       	0.699829       	6.166920       	0.015417       	0.909821       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	205.042512     	160.807980     	0.697677       	0.000000       	0.697677       	10.030371      	0.025076       	1.213100       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	213.622022     	151.492379     	0.668913       	0.000000       	0.668913       	8.602756       	0.021507       	1.381758       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	220.574296     	144.337239     	0.627063       	0.000000       	0.627063       	6.971366       	0.017428       	0.810837       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	227.552488     	136.763142     	0.616072       	0.000000       	0.616072       	6.997349       	0.017493       	1.192820       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	234.178673     	129.434647     	0.602324       	0.000000       	0.602324       	6.644451       	0.016611       	1.286368       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	240.446135     	122.771428     	0.590325       	0.000000       	0.590325       	6.284826       	0.015712       	0.968717       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	244.522394     	118.879249     	0.572370       	0.000000       	0.572370       	4.089538       	0.010224       	0.375011       	0.003055       	0.001014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	250.223315     	128.402042     	0.453936       	0.000000       	0.453936       	2.003406       	0.005009       	0.177736       	0.047477       	0.017311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	252.884555     	125.978604     	0.462767       	0.000000       	0.462767       	2.709625       	0.006774       	0.176580       	0.041612       	0.012956       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	255.795626     	123.356509     	0.467062       	0.000000       	0.467062       	2.964250       	0.007411       	0.124907       	0.045768       	0.014942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	260.044137     	119.217059     	0.530737       	0.000000       	0.530737       	4.313149       	0.010783       	0.357038       	0.053855       	0.016072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	265.711038     	113.517758     	0.609287       	0.000000       	0.609287       	5.745427       	0.014364       	0.563160       	0.064163       	0.018323       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	268.165710     	111.160844     	0.462807       	0.000000       	0.462807       	2.564828       	0.006414       	0.254893       	0.103742       	0.024549       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	270.996956     	108.534282     	0.474465       	0.000000       	0.474465       	2.894255       	0.007236       	0.206772       	0.055773       	0.017298       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000348   	295.121578     	159.285120     	0.499910       	0.000000       	0.499910       	5.447011       	0.013618       	0.552061       	0.058772       	0.017797       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500441   	300.836382     	153.297043     	0.499907       	0.000000       	0.499907       	5.790357       	0.014476       	0.697627       	0.061077       	0.018269       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985423   	307.277098     	146.267702     	0.515018       	0.000000       	0.515018       	6.510319       	0.016276       	1.034041       	0.053327       	0.013431       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456344   	314.067697     	139.140486     	0.529079       	0.000000       	0.529079       	6.854231       	0.017136       	0.802063       	0.046497       	0.011050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911459   	321.022016     	131.655282     	0.544886       	0.000000       	0.544886       	7.014104       	0.017535       	1.015985       	0.042249       	0.009795       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379471   	326.352432     	126.194757     	0.531988       	0.000000       	0.531988       	5.376325       	0.013441       	0.616187       	0.032468       	0.007467       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796837   	331.892354     	120.312709     	0.582634       	0.000000       	0.582634       	5.585070       	0.013963       	0.879612       	0.031186       	0.007100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256677   	344.534315     	137.650225     	0.540161       	0.000000       	0.540161       	5.182782       	0.012957       	0.519864       	0.027864       	0.006693       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774054   	348.105177     	134.154742     	0.482623       	0.000000       	0.482623       	3.645534       	0.009114       	0.332572       	0.065558       	0.023618       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333661   	350.971850     	131.169019     	0.440393       	0.000000       	0.440393       	3.093540       	0.007856       	0.332576       	0.219011       	0.056426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852757   	354.694334     	127.472007     	0.480904       	0.000000       	0.480904       	3.931472       	0.009912       	0.246445       	0.199075       	0.047739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492801   	357.877893     	124.057053     	0.359956       	0.000000       	0.359956       	3.466307       	0.008668       	0.308602       	0.274081       	0.046261       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125444   	361.371427     	119.955666     	0.367357       	0.000000       	0.367357       	3.976445       	0.009971       	0.492299       	0.472940       	0.054923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815749   	364.867107     	115.749333     	0.309696       	0.000000       	0.309696       	3.968592       	0.009969       	0.547436       	0.462942       	0.041428       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416197   	374.517641     	120.802837     	0.399552       	0.000000       	0.399552       	6.218296       	0.015546       	0.377752       	0.302216       	0.030939       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922332   	379.799418     	115.320330     	0.493865       	0.000000       	0.493865       	5.641370       	0.014105       	0.335001       	0.345488       	0.059105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384707   	384.733706     	110.249876     	0.537625       	0.000000       	0.537625       	5.266272       	0.013167       	0.341807       	0.318817       	0.060697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850194   	388.395040     	106.580868     	0.534512       	0.000000       	0.534512       	3.964405       	0.009915       	0.239116       	0.293156       	0.060091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354578   	391.479416     	103.331530     	0.495616       	0.000000       	0.495616       	3.345895       	0.008368       	0.399059       	0.253150       	0.053401       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880808   	394.051530     	100.663426     	0.473771       	0.000000       	0.473771       	2.920499       	0.007380       	0.221375       	0.341005       	0.067474       	0.000000       	0.000000       	0.000000       	0.000000       
