DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15605.334960   	53.799308      	95.271558      	59.016140      	0.000000       	59.016140      	5.565389       	0.013913       	0.929194       	0.002167       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15604.393552   	59.818573      	89.708261      	0.941407       	0.000000       	0.941407       	6.036552       	0.015091       	0.468152       	0.002195       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15603.475449   	63.942084      	86.234634      	0.918103       	0.000000       	0.918103       	4.148544       	0.010371       	0.243186       	0.014661       	0.003106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.650367   	67.335742      	83.336428      	0.825082       	0.000000       	0.825082       	3.410634       	0.008527       	0.312654       	0.008450       	0.001675       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.824369   	70.993469      	80.153623      	0.825998       	0.000000       	0.825998       	3.673425       	0.009184       	0.335378       	0.006515       	0.001077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.992214   	74.873026      	76.791416      	0.832155       	0.000000       	0.832155       	3.894905       	0.009737       	0.299458       	0.005611       	0.000738       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.172786   	78.878667      	73.269917      	0.819428       	0.000000       	0.819428       	4.021415       	0.010054       	0.319511       	0.005721       	0.000746       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.391250   	104.157936     	123.057720     	0.781537       	0.000000       	0.781537       	6.548953       	0.016372       	0.694781       	0.003312       	0.000336       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.591862   	111.249816     	115.984577     	0.799388       	0.000000       	0.799388       	7.112432       	0.017781       	0.760099       	0.002771       	0.000227       	0.000000       	0.000000       	0.000000       	0.000000       
