DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	75.420936      	140.211906     	35.355384      	0.000000       	35.355384      	4.684397       	0.011711       	0.709081       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	81.415842      	133.908675     	0.845980       	0.000000       	0.845980       	6.011761       	0.015029       	1.137451       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	88.604874      	126.482125     	0.867811       	0.000000       	0.867811       	7.208970       	0.018022       	1.085391       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	96.971558      	118.344068     	0.917393       	0.000000       	0.917393       	8.389497       	0.020974       	0.665954       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	104.443442     	110.952761     	0.887645       	0.000000       	0.887645       	7.492439       	0.018731       	0.786512       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	110.615800     	104.757463     	0.831836       	0.000000       	0.831836       	6.189582       	0.015474       	0.837552       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	115.237315     	100.198353     	0.746584       	0.000000       	0.746584       	4.634698       	0.011587       	0.670997       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	134.993501     	140.722650     	0.742844       	0.000000       	0.742844       	4.769522       	0.011924       	0.449024       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	140.266545     	135.517094     	0.699955       	0.000000       	0.699955       	5.287683       	0.013219       	0.617828       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
