DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	61.984607      	121.383282     	62.987485      	0.000000       	62.987485      	6.252476       	0.015631       	0.601726       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	67.614461      	115.958030     	0.828868       	0.000000       	0.828868       	5.645956       	0.014115       	0.608164       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	72.708030      	111.143096     	0.782752       	0.000000       	0.782752       	5.108162       	0.012770       	0.489525       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	77.388453      	106.820078     	0.745042       	0.000000       	0.745042       	4.693693       	0.011734       	0.374367       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	81.738888      	102.700135     	0.714297       	0.000000       	0.714297       	4.362830       	0.010907       	0.471409       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	86.039287      	98.584327      	0.700517       	0.000000       	0.700517       	4.312660       	0.010782       	0.503665       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	89.723896      	94.938722      	0.659263       	0.000000       	0.659263       	3.695251       	0.009238       	0.609617       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	114.692054     	144.750599     	0.662487       	0.000000       	0.662487       	6.235180       	0.015588       	0.865430       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	121.316132     	138.018336     	0.671924       	0.000000       	0.671924       	6.642159       	0.016605       	0.762029       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	127.829870     	131.237376     	0.671009       	0.000000       	0.671009       	6.531562       	0.016329       	0.920406       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	133.679862     	125.202349     	0.651961       	0.000000       	0.651961       	5.866135       	0.014665       	0.820854       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	139.338886     	119.330821     	0.642526       	0.000000       	0.642526       	5.674693       	0.014187       	0.839362       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	144.025092     	114.323734     	0.606352       	0.000000       	0.606352       	4.699376       	0.011748       	0.914063       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	148.350724     	109.930901     	0.583658       	0.000000       	0.583658       	4.337867       	0.010845       	0.638623       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	192.556279     	199.588490     	0.615448       	0.000000       	0.615448       	10.483253      	0.026208       	1.724606       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	203.041220     	187.744609     	0.624587       	0.000000       	0.624587       	10.512762      	0.026282       	1.955705       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	211.687167     	177.857471     	0.601108       	0.000000       	0.601108       	8.669133       	0.021673       	1.819113       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
