DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15593.058492   	78.104983      	157.594340     	71.292608      	0.000000       	71.292608      	11.135236      	0.027838       	1.563032       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15592.081739   	88.555175      	146.876182     	0.976752       	0.000000       	0.976752       	10.478677      	0.026197       	1.216233       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15591.158274   	97.468209      	137.799146     	0.923465       	0.000000       	0.923465       	8.937266       	0.022343       	1.063236       	0.001889       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15590.269573   	105.593691     	129.584247     	0.888701       	0.000000       	0.888701       	8.147701       	0.020369       	0.955898       	0.001850       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15589.400727   	113.310194     	121.791611     	0.868846       	0.000000       	0.868846       	7.737686       	0.019344       	0.923797       	0.001839       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15588.483410   	122.244035     	112.240739     	0.917317       	0.000000       	0.917317       	8.958222       	0.022396       	1.509966       	0.001985       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15587.570978   	130.520157     	103.355843     	0.912431       	0.000000       	0.912431       	8.298877       	0.020747       	1.498451       	0.002007       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15586.665554   	179.480732     	187.723314     	0.905425       	0.000000       	0.905425       	15.250740      	0.038127       	2.537213       	0.002039       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15585.807486   	191.929039     	174.720997     	0.858067       	0.000000       	0.858067       	12.481484      	0.031204       	1.378900       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15584.973455   	203.408895     	161.809192     	0.834032       	0.000000       	0.834032       	11.510598      	0.028776       	2.235240       	0.001964       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15584.073315   	217.641668     	145.683114     	0.900139       	0.000000       	0.900139       	14.270621      	0.035677       	2.755596       	0.002172       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15583.170615   	230.541147     	132.188048     	0.902700       	0.000000       	0.902700       	12.934050      	0.032335       	1.463717       	0.002235       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15582.318095   	236.593657     	126.539446     	0.852520       	0.000000       	0.852520       	6.090568       	0.015226       	0.410554       	0.022831       	0.010635       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15581.467559   	243.006027     	120.606054     	0.850536       	0.000000       	0.850536       	6.447198       	0.016118       	0.336730       	0.018710       	0.008440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15580.676002   	291.812519     	221.384778     	0.791557       	0.000000       	0.791557       	11.343060      	0.028358       	1.169773       	0.008211       	0.002918       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.859295   	304.872915     	207.513374     	0.816707       	0.000000       	0.816707       	13.099388      	0.032748       	1.588723       	0.006243       	0.001581       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15579.062056   	318.066547     	193.342294     	0.797240       	0.000000       	0.797240       	13.231027      	0.033078       	1.737293       	0.004317       	0.000888       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15578.311354   	329.657701     	181.118951     	0.750702       	0.000000       	0.750702       	11.623537      	0.029059       	1.350508       	0.003324       	0.000549       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15577.574095   	340.873776     	169.234821     	0.737259       	0.000000       	0.737259       	11.247119      	0.028118       	1.374271       	0.002926       	0.000400       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15576.862589   	350.951477     	158.943403     	0.711506       	0.000000       	0.711506       	10.105598      	0.025264       	0.897325       	0.002633       	0.000302       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15576.180797   	357.119983     	152.782338     	0.681792       	0.000000       	0.681792       	6.197390       	0.015493       	0.645467       	0.013390       	0.007182       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15575.514084   	400.685732     	244.324289     	0.666713       	0.000000       	0.666713       	9.858839       	0.024647       	0.515923       	0.018443       	0.010119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15574.857826   	410.834267     	234.236871     	0.656258       	0.000000       	0.656258       	10.183656      	0.025459       	0.560020       	0.009662       	0.004844       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15574.188493   	421.933483     	222.964644     	0.669333       	0.000000       	0.669333       	11.131678      	0.027829       	0.809883       	0.004632       	0.001652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15573.525965   	432.990922     	211.755792     	0.662528       	0.000000       	0.662528       	11.087918      	0.027720       	0.783461       	0.002759       	0.000448       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15572.905582   	443.018885     	201.619115     	0.620383       	0.000000       	0.620383       	10.055592      	0.025139       	0.701469       	0.002490       	0.000343       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15572.357558   	450.464007     	193.926294     	0.548024       	0.000000       	0.548024       	7.465886       	0.018665       	0.774958       	0.002100       	0.000233       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15571.841224   	457.463105     	186.362545     	0.516334       	0.000000       	0.516334       	7.018285       	0.017546       	1.061798       	0.001641       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
