DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	84.104987      	168.928813     	58.093927      	0.000000       	58.093927      	9.631262       	0.024078       	1.033852       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	92.796232      	160.137991     	0.861347       	0.000000       	0.861347       	8.715051       	0.021788       	0.937119       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	100.160966     	152.546660     	0.803779       	0.000000       	0.803779       	7.384844       	0.018462       	1.010265       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	108.110594     	144.357923     	0.813290       	0.000000       	0.813290       	7.971257       	0.019928       	1.030769       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	114.622846     	138.287555     	0.849294       	0.000000       	0.849294       	6.537282       	0.016343       	0.382381       	0.008686       	0.003278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	121.412294     	131.785133     	0.858824       	0.000000       	0.858824       	6.812188       	0.017030       	0.549058       	0.005710       	0.001940       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193315   	127.792821     	125.664999     	0.877324       	0.000000       	0.877324       	6.415154       	0.016038       	0.582304       	0.018589       	0.007256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426090   	173.974791     	229.357538     	0.767225       	0.000000       	0.767225       	8.811653       	0.022029       	0.763033       	0.107653       	0.022073       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680512   	182.527382     	220.512103     	0.745578       	0.000000       	0.745578       	8.803503       	0.022107       	0.787511       	0.228805       	0.039579       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996635   	189.635663     	213.253803     	0.683876       	0.000000       	0.683876       	7.391069       	0.018867       	0.551107       	0.263922       	0.044300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339919   	196.424793     	206.314573     	0.656716       	0.000000       	0.656716       	6.975930       	0.017938       	0.620015       	0.168863       	0.026936       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662641   	204.165317     	198.406811     	0.677279       	0.000000       	0.677279       	7.898735       	0.019774       	0.686306       	0.138437       	0.023733       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15597.005235   	211.793772     	190.220102     	0.657406       	0.000000       	0.657406       	7.769691       	0.019424       	1.074424       	0.121811       	0.022591       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15596.333395   	220.515492     	180.644415     	0.671840       	0.000000       	0.671840       	8.861667       	0.022154       	1.385859       	0.117793       	0.019668       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15595.635200   	274.191361     	274.908503     	0.698196       	0.000000       	0.698196       	16.329896      	0.040825       	2.604212       	0.113202       	0.017775       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15594.911508   	287.190412     	261.222794     	0.723692       	0.000000       	0.723692       	13.136794      	0.032842       	1.272608       	0.104901       	0.015819       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15594.293801   	296.381910     	251.536979     	0.617706       	0.000000       	0.617706       	9.611865       	0.025253       	0.691656       	0.395114       	0.044533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15593.669657   	304.683081     	242.960690     	0.624144       	0.000000       	0.624144       	8.593398       	0.022311       	0.607035       	0.269916       	0.047403       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15593.053257   	313.110447     	234.221905     	0.616400       	0.000000       	0.616400       	8.647189       	0.022285       	0.707995       	0.197539       	0.033573       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15592.499520   	319.660201     	227.198434     	0.553737       	0.000000       	0.553737       	6.714385       	0.017250       	0.862824       	0.147381       	0.027384       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15592.010627   	324.821366     	221.612833     	0.488893       	0.000000       	0.488893       	5.291029       	0.013228       	0.783465       	0.116636       	0.022123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15591.506303   	356.389515     	279.390985     	0.504323       	0.000000       	0.504323       	9.210121       	0.023025       	1.016050       	0.118947       	0.021544       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15591.039305   	363.741905     	271.159152     	0.466998       	0.000000       	0.466998       	7.471640       	0.018679       	1.227192       	0.100571       	0.016610       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15590.591049   	370.531623     	263.860971     	0.448256       	0.000000       	0.448256       	6.898147       	0.017245       	0.848289       	0.091184       	0.014600       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15590.196038   	374.932096     	259.030034     	0.395011       	0.000000       	0.395011       	4.486557       	0.011216       	0.739391       	0.074868       	0.011102       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15589.789350   	380.864811     	252.461031     	0.406688       	0.000000       	0.406688       	6.022206       	0.015056       	0.953485       	0.074435       	0.011365       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15589.401560   	385.983064     	246.574226     	0.387790       	0.000000       	0.387790       	5.199417       	0.012999       	1.075178       	0.068165       	0.009844       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15588.947216   	395.457065     	236.310362     	0.454344       	0.000000       	0.454344       	9.575639       	0.023939       	1.142568       	0.077699       	0.011704       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15588.502861   	444.677469     	335.171781     	0.444356       	0.000000       	0.444356       	11.824655      	0.029562       	2.258282       	0.074689       	0.010450       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15588.054111   	456.147232     	321.574469     	0.448750       	0.000000       	0.448750       	11.572108      	0.028930       	2.473955       	0.073415       	0.010170       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15587.618296   	466.109706     	309.231454     	0.435815       	0.000000       	0.435815       	10.057486      	0.025144       	2.721344       	0.069868       	0.009320       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15587.190140   	475.375682     	298.206134     	0.428156       	0.000000       	0.428156       	9.356387       	0.023391       	2.097089       	0.067019       	0.008785       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15586.747357   	485.648237     	286.830203     	0.442783       	0.000000       	0.442783       	10.365535      	0.025914       	1.453179       	0.067067       	0.008740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15586.319330   	492.673030     	279.483478     	0.428027       	0.000000       	0.428027       	7.102972       	0.017757       	0.671780       	0.060422       	0.007434       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15585.858958   	500.544385     	271.372419     	0.460372       	0.000000       	0.460372       	7.955790       	0.019889       	0.615641       	0.064546       	0.010417       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15585.421057   	547.969674     	373.544965     	0.437902       	0.000000       	0.437902       	10.011454      	0.025029       	0.753902       	0.061135       	0.008993       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15584.990260   	556.766443     	364.558321     	0.430797       	0.000000       	0.430797       	8.886471       	0.022216       	0.530970       	0.067487       	0.013880       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15584.579510   	564.165997     	356.679874     	0.410749       	0.000000       	0.410749       	7.486068       	0.018715       	0.803128       	0.067799       	0.015344       	0.000000       	0.000000       	0.000000       	0.000000       
