DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15605.334960   	40.723671      	63.688930      	59.016140      	0.000000       	59.016140      	3.735176       	0.009338       	0.592034       	0.002167       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15604.393552   	44.762869      	60.280441      	0.941407       	0.000000       	0.941407       	4.051522       	0.010129       	0.298374       	0.002195       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15603.475449   	47.596498      	58.191464      	0.918103       	0.000000       	0.918103       	2.851937       	0.007130       	0.155144       	0.011177       	0.001614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.650367   	49.960116      	56.440450      	0.825083       	0.000000       	0.825083       	2.376539       	0.005941       	0.199557       	0.006980       	0.000996       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.824369   	52.497142      	54.503145      	0.825998       	0.000000       	0.825998       	2.549136       	0.006373       	0.214167       	0.005737       	0.000742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.992214   	55.182425      	52.446776      	0.832155       	0.000000       	0.832155       	2.697200       	0.006743       	0.191324       	0.005174       	0.000594       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.172786   	57.956045      	50.276131      	0.819428       	0.000000       	0.819428       	2.785866       	0.006965       	0.204207       	0.005281       	0.000602       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.391249   	64.868234      	58.833655      	0.781537       	0.000000       	0.781537       	3.173257       	0.007933       	0.300755       	0.003136       	0.000277       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.591861   	68.293671      	55.867206      	0.799388       	0.000000       	0.799388       	3.436694       	0.008592       	0.329143       	0.002665       	0.000192       	0.000000       	0.000000       	0.000000       	0.000000       
