DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	44.518838      	83.825756      	67.930922      	0.000000       	67.930922      	3.780318       	0.009451       	0.574848       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	48.466090      	80.446221      	0.836899       	0.000000       	0.836899       	3.959267       	0.009898       	0.257167       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	52.302614      	77.059619      	0.814482       	0.000000       	0.814482       	3.848178       	0.009620       	0.352907       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	55.904905      	73.899500      	0.776384       	0.000000       	0.776384       	3.613207       	0.009033       	0.323295       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	59.549979      	70.756334      	0.767723       	0.000000       	0.767723       	3.655850       	0.009140       	0.255040       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	63.658999      	67.020464      	0.800831       	0.000000       	0.800831       	4.121064       	0.010303       	0.415636       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	67.877104      	63.088882      	0.820015       	0.000000       	0.820015       	4.230491       	0.010576       	0.521106       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	85.779396      	90.100137      	0.844938       	0.000000       	0.844938       	6.670868       	0.016677       	0.912815       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	91.398100      	84.519290      	0.811370       	0.000000       	0.811370       	5.634640       	0.014087       	0.757578       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	96.300367      	79.572277      	0.777453       	0.000000       	0.777453       	4.916364       	0.012291       	0.808102       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	99.865729      	76.150722      	0.697294       	0.000000       	0.697294       	3.575945       	0.008940       	0.542905       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	104.162628     	72.059915      	0.721646       	0.000000       	0.721646       	4.309410       	0.010774       	0.503044       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	108.306613     	67.971934      	0.715250       	0.000000       	0.715250       	4.156122       	0.010390       	0.647108       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	112.125749     	64.315885      	0.699829       	0.000000       	0.699829       	3.830458       	0.009576       	0.525421       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	120.313129     	71.321517      	0.697677       	0.000000       	0.697677       	4.450281       	0.011126       	0.491764       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	124.164605     	67.567378      	0.668913       	0.000000       	0.668913       	3.862873       	0.009657       	0.560179       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	127.339233     	64.681444      	0.627063       	0.000000       	0.627063       	3.184252       	0.007961       	0.328746       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	130.522467     	61.620984      	0.616072       	0.000000       	0.616072       	3.192879       	0.007982       	0.483653       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	133.558975     	58.655902      	0.602324       	0.000000       	0.602324       	3.045778       	0.007614       	0.521627       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	136.446383     	55.957072      	0.590325       	0.000000       	0.590325       	2.896301       	0.007241       	0.392854       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	138.408984     	54.406649      	0.572370       	0.000000       	0.572370       	1.970342       	0.004926       	0.152452       	0.002815       	0.000739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	151.055409     	87.057191      	0.453936       	0.000000       	0.453936       	1.437913       	0.003595       	0.115481       	0.037893       	0.011053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	152.906074     	85.517148      	0.462768       	0.000000       	0.462768       	1.888060       	0.004720       	0.114750       	0.032675       	0.008068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	154.917794     	83.850143      	0.467062       	0.000000       	0.467062       	2.052876       	0.005132       	0.081192       	0.036024       	0.009357       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	157.807959     	81.208944      	0.530737       	0.000000       	0.530737       	2.939801       	0.007350       	0.232135       	0.042286       	0.010036       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	161.636857     	77.562995      	0.609287       	0.000000       	0.609287       	3.888966       	0.009722       	0.366270       	0.050347       	0.011426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974721   	163.338005     	76.075187      	0.462807       	0.000000       	0.462807       	1.784750       	0.004478       	0.165865       	0.079123       	0.014637       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500255   	165.288589     	74.416528      	0.474466       	0.000000       	0.474466       	1.998544       	0.004996       	0.134581       	0.042964       	0.010392       	0.000000       	0.000000       	0.000000       	0.000000       
