DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15580.506456   	80.980090      	167.609887     	83.844644      	0.000000       	83.844644      	14.018041      	0.035045       	1.216716       	0.002906       	0.000153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15579.425807   	93.969129      	154.147786     	1.080649       	0.000000       	1.080649       	13.024299      	0.032561       	1.518451       	0.002699       	0.000127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15578.384615   	103.904171     	144.179277     	1.041192       	0.000000       	1.041192       	9.962320       	0.024906       	1.047382       	0.002372       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15577.361942   	111.710591     	136.716780     	1.022673       	0.000000       	1.022673       	7.864767       	0.019662       	0.620402       	0.038685       	0.010941       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15576.349079   	119.277843     	129.483090     	1.012863       	0.000000       	1.012863       	7.636099       	0.019090       	0.610454       	0.049757       	0.013852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15575.563975   	123.776612     	125.220077     	0.785105       	0.000000       	0.785105       	4.753041       	0.012045       	0.295077       	0.242228       	0.028443       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15574.740254   	128.772734     	120.655053     	0.823721       	0.000000       	0.823721       	5.181745       	0.012984       	0.207000       	0.172638       	0.024664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15573.996122   	166.012772     	203.530922     	0.744132       	0.000000       	0.744132       	7.336689       	0.018342       	0.531574       	0.078310       	0.013367       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15573.332482   	171.892933     	197.456550     	0.663640       	0.000000       	0.663640       	5.959412       	0.014899       	0.778599       	0.064352       	0.010404       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15572.693876   	178.265383     	190.620135     	0.638606       	0.000000       	0.638606       	6.451701       	0.016129       	1.023319       	0.063122       	0.009963       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15572.094178   	184.171878     	184.151210     	0.599698       	0.000000       	0.599698       	5.972310       	0.014931       	1.096313       	0.050885       	0.006776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15571.513173   	190.003682     	177.959568     	0.581006       	0.000000       	0.581006       	5.891158       	0.014728       	0.881490       	0.044625       	0.005658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15570.949512   	195.601442     	172.009772     	0.563661       	0.000000       	0.563661       	5.651412       	0.014129       	0.862046       	0.039524       	0.004841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15570.429903   	199.968326     	167.369146     	0.519609       	0.000000       	0.519609       	4.410463       	0.011026       	0.749772       	0.032553       	0.003819       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15569.801385   	230.828660     	226.425017     	0.628518       	0.000000       	0.628518       	8.426204       	0.021066       	0.646442       	0.044804       	0.009029       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15569.230543   	237.006937     	220.411053     	0.570842       	0.000000       	0.570842       	6.245056       	0.015613       	0.339751       	0.051167       	0.012900       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15568.661362   	243.216185     	214.328671     	0.569180       	0.000000       	0.569180       	6.281014       	0.015703       	0.370547       	0.056063       	0.014860       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15568.144821   	248.236726     	209.258642     	0.516541       	0.000000       	0.516541       	5.142607       	0.012857       	0.443963       	0.109210       	0.023121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15567.580764   	255.078966     	202.132113     	0.564057       	0.000000       	0.564057       	6.950579       	0.017376       	0.740008       	0.090962       	0.018639       	0.000000       	0.000000       	0.000000       	0.000000       
